New Scientist,New Scientist,1.0
Optics and Photonics Focus,Optics & Photonics News,0.7307692307692308
Popular Mechanics,Rock Mechanics,0.6470588235294117
Trends in Cell Biology,Trends in Cell Biology,1.0
Australian Journal of Opthalmology,Australian Journal of Ophthalmology,0.9714285714285714
Survey of ophthalmology,Survey of Ophthalmology,0.9565217391304348
British Journal of Ophthalmology,British Journal of Ophthalmology,1.0
Journal of anatomy,Journal of Anatomy,0.9444444444444444
Journal of comparative neurology,Journal of Comparative Neurology,0.9375
Vision research,Vision Research,0.9333333333333333
Behavioural Brain Research,Behavioural Brain Research,1.0
British journal of ophthalmology,British Journal of Ophthalmology,0.9375
The Anatomical Record,Anatomical Record,0.8095238095238095
Journal of Applied Probability,Journal of Applied Probability,1.0
Journal of the Royal Statistical Society. Series B (Methodological),Journal of the Royal Statistical Society Series B-Methodological,0.9402985074626866
Journal of the Optical Society of America,Journal of the Optical Society of America,1.0
Journal of Comparative Neurology,Journal of Comparative Neurology,1.0
PloS one,Plos One,0.75
Archives of Ophthalmology-Chicago,Archives of Ophthalmology,0.7575757575757576
The American journal of clinical nutrition,The American Journal of Clinical Nutrition,0.9285714285714286
Journal of neuro-ophthalmology: the official journal of the North American Neuro-Ophthalmology Society,Saudi Journal of Gastroenterology : Official Journal of the Saudi Gastroenterology Association,0.4607843137254902
Documenta ophthalmologica,Documenta Ophthalmologica,0.96
Eye,Eye Eye,0.4285714285714286
Science,Science 85,0.7
Ophthalmology,Bmc Ophthalmology,0.7647058823529411
"Selected Topics in Quantum Electronics, IEEE Journal of",Ieee Journal of Selected Topics in Quantum Electronics,0.4
Optics Express,Optics Express,1.0
Optics Letters,Optics Letters,1.0
Journal of the Optical Society of America A,Journal of the Optical Society of America A,1.0
Vision Research,Vision Research,1.0
Journal of American Association for Pediatric Ophthalmology and Strabismus,Journal of Pediatric Ophthalmology & Strabismus,0.6216216216216216
Proc. of CST,Proceedings of the Sid,0.40909090909090906
Biomedical Optics Express,Biomedical Optics Express,1.0
Biomedical optics express,Biomedical Optics Express,0.92
Investigative Ophthalmology \& Visual Science,Investigative Ophthalmology & Visual Science,0.9777777777777777
Visual Neuroscience,Visual Neuroscience,1.0
Nano Letters,Cancer Letters,0.7142857142857143
Proceedings of the National Academy of Sciences-USA,Proceedings of the Indian Academy of Sciences-Plant Sciences,0.6833333333333333
Glia,Glia Glia,0.4444444444444444
Nature {C}ommunications,Space Communications,0.6956521739130435
Progress in Retinal and Eye Research,Progress in Retinal and Eye Research,1.0
Frontiers in bioscience: a journal and virtual library,Frontiers in Neural Circuits,0.42592592592592593
Graefe's Archive for Clinical and Experimental Ophthalmology,Graefes Archive for Clinical and Experimental Ophthalmology,0.9833333333333333
Trends in neurosciences,Trends in Neurosciences,0.9565217391304348
American {J}ournal of {O}phthalmology,American Journal of Ophthalmology,0.8918918918918919
